Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,EXP
1,Cincinnati Bengals,17,460,652,70.6,4640,43,6.6,9,1.4,70,7.1,7.8,10.1,272.9,106.8,48,278,6.9,6.6,7.3,1,2,166.38
2,Detroit Lions,17,399,551,72.4,4474,39,7.1,12,2.2,82,8.1,8.6,11.2,263.2,110.8,33,244,5.7,7.7,8.1,4,4,204.72
3,Tampa Bay Buccaneers,17,408,571,71.5,4257,41,7.2,16,2.8,57,7.5,7.6,10.4,250.4,105.0,40,248,6.5,7.0,7.1,2,2,163.23
4,San Francisco 49ers,17,349,533,65.5,4234,23,4.3,16,3.0,76,7.9,7.5,12.1,249.1,91.6,36,190,6.3,7.4,7.0,1,1,108.78
5,Atlanta Falcons,17,364,559,65.1,4068,21,3.8,19,3.4,60,7.3,6.5,11.2,239.3,85.0,32,215,5.4,6.9,6.1,3,3,102.61
6,Minnesota Vikings,17,364,548,66.4,4043,35,6.4,12,2.2,97,7.4,7.7,11.1,237.8,100.3,49,336,8.2,6.8,7.0,3,5,136.85
7,Baltimore Ravens,17,318,477,66.7,4035,41,8.6,4,0.8,84,8.5,9.8,12.7,237.4,118.0,24,154,4.8,8.1,9.3,2,2,205.64
8,Seattle Seahawks,17,413,593,69.6,4020,21,3.5,16,2.7,71,6.8,6.3,9.7,236.5,88.9,54,359,8.3,6.2,5.7,4,4,60.67
9,Buffalo Bills,17,329,520,63.3,3875,30,5.8,6,1.2,69,7.5,8.1,11.8,227.9,100.3,14,63,2.6,7.3,7.9,0,2,175.67
10,Los Angeles Rams,17,367,559,65.7,3868,22,3.9,9,1.6,69,6.9,7.0,10.5,227.5,92.0,31,228,5.3,6.6,6.6,3,5,100.91
11,Dallas Cowboys,17,398,637,62.5,3862,23,3.6,14,2.2,65,6.1,5.8,9.7,227.2,82.3,38,230,5.6,5.7,5.5,1,1,10.52
12,Green Bay Packers,17,308,479,64.3,3807,28,5.8,11,2.3,70,7.9,8.1,12.4,223.9,98.7,22,132,4.4,7.6,7.7,2,3,130.03
13,Las Vegas Raiders,17,410,635,64.6,3797,19,3.0,16,2.5,58,6.0,5.4,9.3,223.4,80.3,50,320,7.3,5.5,5.0,2,2,10.13
