,,,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Cleveland Browns,17,45,450,0,28,10.0,41,1018,0,56,24.8,6972
2,Houston Texans,17,41,340,0,36,8.3,23,722,0,80,31.4,7260
3,Detroit Lions,17,37,479,1,90,12.9,15,471,0,72,31.4,8359
4,Tennessee Titans,17,34,253,0,20,7.4,40,1081,0,54,27.0,6901
5,Cincinnati Bengals,17,34,248,0,23,7.3,39,1133,1,100,29.1,8204
6,New York Jets,17,33,266,0,40,8.1,29,878,1,99,30.3,6758
7,San Francisco 49ers,17,32,294,0,30,9.2,31,884,0,60,28.5,7919
8,Kansas City Chiefs,17,31,307,0,55,9.9,29,785,0,56,27.1,7078
9,New York Giants,17,30,228,0,25,7.6,36,1019,1,100,28.3,6604
10,New England Patriots,17,30,427,0,62,14.2,26,662,0,46,25.5,6502
11,Philadelphia Eagles,17,28,257,0,31,9.2,33,875,0,51,26.5,7859
12,Miami Dolphins,17,28,268,0,44,9.6,26,755,0,67,29.0,6837
13,Pittsburgh Steelers,17,28,289,1,73,10.3,25,575,0,35,23.0,6843
14,Jacksonville Jaguars,17,27,318,1,96,11.8,29,745,0,41,25.7,6590
15,Buffalo Bills,17,27,313,0,29,11.6,24,621,0,53,25.9,7290
16,Las Vegas Raiders,17,27,264,0,24,9.8,23,680,0,68,29.6,6526
17,Indianapolis Colts,17,26,256,0,36,9.8,22,644,0,55,29.3,6980
18,Denver Broncos,17,26,408,0,61,15.7,13,364,0,38,28.0,7053
19,Seattle Seahawks,17,25,186,0,23,7.4,38,1065,1,97,28.0,7579
20,Washington Commanders,17,25,260,0,24,10.4,37,1082,0,62,29.2,8042
21,Carolina Panthers,17,24,177,0,16,7.4,42,1060,0,43,25.2,6624
22,New Orleans Saints,17,24,301,1,54,12.5,37,1000,0,42,27.0,7149
23,Chicago Bears,17,24,304,1,94,12.7,27,768,0,67,28.4,6479
24,Minnesota Vikings,17,24,164,0,15,6.8,14,341,0,35,24.4,6913
25,Baltimore Ravens,17,22,213,0,22,9.7,30,811,0,59,27.0,8471
26,Los Angeles Chargers,17,22,263,0,53,12.0,22,582,0,56,26.5,6792
27,Tampa Bay Buccaneers,17,21,159,0,17,7.6,31,816,0,53,26.3,8085
28,Atlanta Falcons,17,21,200,0,28,9.5,30,791,0,38,26.4,7642
29,Arizona Cardinals,17,21,202,0,27,9.6,25,709,1,96,28.4,7224
30,Dallas Cowboys,17,19,187,1,60,9.8,34,1091,2,99,32.1,7145
31,Green Bay Packers,17,19,158,0,39,8.3,20,564,0,43,28.2,7452
32,Los Angeles Rams,17,18,161,0,38,8.9,29,794,0,43,27.4,6992
,Avg Team,,27.3,268.8,0.2,41,9.9,28.8,793.3,0.2,61,27.6,7222.6
,League Total,,873,8600,6,96,9.9,920,25386,7,100,27.6,231124
,Avg Tm/G,,1.6,15.8,0.0,,9.9,1.7,46.7,0.0,,27.6,424.9
